ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2019-02-09,166.32569189352674,247.8663795673632,502.54163891288516,166.32569189352674,166.32569189352674,206.74120079602022,206.74120079602022,206.74120079602022,134.994845952,134.994845952,134.994845952,120.37719824803138,120.37719824803138,120.37719824803138,-48.630843404011195,-48.630843404011195,-48.630843404011195,0.0,0.0,0.0,373.066892689547
2019-02-10,166.31923560566847,277.98257988277766,530.5615925958007,166.31923560566847,166.31923560566847,236.9311860068096,236.9311860068096,236.9311860068096,134.994845952,134.994845952,134.994845952,151.27819633605924,151.27819633605924,151.27819633605924,-49.341856281249655,-49.341856281249655,-49.341856281249655,0.0,0.0,0.0,403.2504216124781
2019-02-11,166.31277931781017,125.70802229215064,376.85261551846463,166.31277931781017,166.31277931781017,86.57903650760535,86.57903650760535,86.57903650760535,134.994845952,134.994845952,134.994845952,1.7283173057460899,1.7283173057460899,1.7283173057460899,-50.14412675014075,-50.14412675014075,-50.14412675014075,0.0,0.0,0.0,252.8918158254155
2019-02-12,166.3063230299519,0.7662994383254788,269.3230201932719,166.3063230299519,166.3063230299519,-33.13377351385385,-33.13377351385385,-33.13377351385385,134.994845952,134.994845952,134.994845952,-117.13087419280234,-117.13087419280234,-117.13087419280234,-50.997745273051564,-50.997745273051564,-50.997745273051564,0.0,0.0,0.0,133.17254951609806
2019-02-13,166.2998667420936,-21.72456559961133,231.68073731755052,166.2998667420936,166.2998667420936,-64.30222023496722,-64.30222023496722,-64.30222023496722,134.994845952,134.994845952,134.994845952,-147.4292873042021,-147.4292873042021,-147.4292873042021,-51.86777888276513,-51.86777888276513,-51.86777888276513,0.0,0.0,0.0,101.99764650712638
2019-02-14,166.2934104542353,47.904872795690395,291.55234796537167,166.2934104542353,166.2934104542353,10.737611403482944,10.737611403482944,10.737611403482944,134.994845952,134.994845952,134.994845952,-71.53193418580419,-71.53193418580419,-71.53193418580419,-52.72530036271287,-52.72530036271287,-52.72530036271287,0.0,0.0,0.0,177.03102185771826
2019-02-15,166.28695416637703,186.47878639198024,430.37747358046954,166.28695416637703,166.28695416637703,144.1551091596739,144.1551091596739,144.1551091596739,134.994845952,134.994845952,134.994845952,62.708383793267224,62.708383793267224,62.708383793267224,-53.5481205855933,-53.5481205855933,-53.5481205855933,0.0,0.0,0.0,310.44206332605097
2019-02-16,166.28049787851873,231.87231134928507,494.5651421955296,166.28049787851873,166.28049787851873,201.05083239537404,201.05083239537404,201.05083239537404,134.994845952,134.994845952,134.994845952,120.37719824784295,120.37719824784295,120.37719824784295,-54.32121180446893,-54.32121180446893,-54.32121180446893,0.0,0.0,0.0,367.3313302738928
2019-02-17,166.27404159066046,276.85637730296025,521.8205500761819,166.27404159066046,166.27404159066046,231.23622194496667,231.23622194496667,231.23622194496667,134.994845952,134.994845952,134.994845952,151.27819633613737,151.27819633613737,151.27819633613737,-55.036820343170646,-55.036820343170646,-55.036820343170646,0.0,0.0,0.0,397.51026353562713
2019-02-18,166.26758530280216,132.48915632811867,375.0454476200994,166.26758530280216,166.26758530280216,81.02888569314077,81.02888569314077,81.02888569314077,134.994845952,134.994845952,134.994845952,1.7283173055699643,1.7283173055699643,1.7283173055699643,-55.69427756442921,-55.69427756442921,-55.69427756442921,0.0,0.0,0.0,247.2964709959429
2019-02-19,166.2611290149439,0.5650093955943865,261.2357550639264,166.2611290149439,166.2611290149439,-38.43555612443678,-38.43555612443678,-38.43555612443678,134.994845952,134.994845952,134.994845952,-117.13087419289663,-117.13087419289663,-117.13087419289663,-56.29952788354016,-56.29952788354016,-56.29952788354016,0.0,0.0,0.0,127.82557289050712
2019-02-20,166.25467272708556,-25.796222256971692,229.11568394563312,166.25467272708556,166.25467272708556,-69.29884299307231,-69.29884299307231,-69.29884299307231,134.994845952,134.994845952,134.994845952,-147.42928730426388,-147.42928730426388,-147.42928730426388,-56.864401640808424,-56.864401640808424,-56.864401640808424,0.0,0.0,0.0,96.95582973401325
2019-02-21,166.2482164392273,43.39724408959109,291.4793545934743,166.2482164392273,166.2482164392273,6.057243188707749,6.057243188707749,6.057243188707749,134.994845952,134.994845952,134.994845952,-71.5319341857472,-71.5319341857472,-71.5319341857472,-57.40566857754507,-57.40566857754507,-57.40566857754507,0.0,0.0,0.0,172.30545962793505
2019-02-22,166.241760151369,168.5296399876856,423.59400880223365,166.241760151369,166.241760151369,139.75931549682142,139.75931549682142,139.75931549682142,134.994845952,134.994845952,134.994845952,62.70838379321533,62.70838379321533,62.70838379321533,-57.94391424839391,-57.94391424839391,-57.94391424839391,0.0,0.0,0.0,306.0010756481904
2019-02-23,166.23530386351072,234.29594381860375,487.9715453224145,166.23530386351072,166.23530386351072,196.86975743810223,196.86975743810223,196.86975743810223,134.994845952,134.994845952,134.994845952,120.37719824787857,120.37719824787857,120.37719824787857,-58.50228676177636,-58.50228676177636,-58.50228676177636,0.0,0.0,0.0,363.105061301613
2019-02-24,166.22884757565242,270.7560202672136,513.4316869741206,166.22884757565242,166.22884757565242,227.1678776564923,227.1678776564923,227.1678776564923,134.994845952,134.994845952,134.994845952,151.278196336113,151.278196336113,151.278196336113,-59.105164631620774,-59.105164631620774,-59.105164631620774,0.0,0.0,0.0,393.3967252321447
2019-02-25,166.22239128779415,114.87400713606606,372.96466866471275,166.22239128779415,166.22239128779415,76.94636508567059,76.94636508567059,76.94636508567059,134.994845952,134.994845952,134.994845952,1.7283173054727679,1.7283173054727679,1.7283173054727679,-59.776798171802184,-59.776798171802184,-59.776798171802184,0.0,0.0,0.0,243.16875637346476
2019-02-26,166.21593499993585,3.965539015524698,247.78225163682106,166.21593499993585,166.21593499993585,-42.67600497995178,-42.67600497995178,-42.67600497995178,134.994845952,134.994845952,134.994845952,-117.13087419288024,-117.13087419288024,-117.13087419288024,-60.53997673907154,-60.53997673907154,-60.53997673907154,0.0,0.0,0.0,123.53993001998407
2019-02-27,166.20947871207755,-28.277481979814084,219.07213084922725,166.20947871207755,166.20947871207755,-73.84921361579494,-73.84921361579494,-73.84921361579494,134.994845952,134.994845952,134.994845952,-147.42928730429136,-147.42928730429136,-147.42928730429136,-61.41477226350358,-61.41477226350358,-61.41477226350358,0.0,0.0,0.0,92.36026509628262
2019-02-28,166.20302242421928,35.667573870511646,292.92138964870566,166.20302242421928,166.20302242421928,1.0455057838073738,1.0455057838073738,1.0455057838073738,134.994845952,134.994845952,134.994845952,-71.53193418591395,-71.53193418591395,-71.53193418591395,-62.41740598227867,-62.41740598227867,-62.41740598227867,0.0,0.0,0.0,167.24852820802667
2019-03-01,166.19656613636099,176.62595253093423,430.3551322660283,166.19656613636099,166.19656613636099,134.1439494986537,134.1439494986537,134.1439494986537,134.994845952,134.994845952,134.994845952,62.70838379323974,62.70838379323974,62.70838379323974,-63.559280246586034,-63.559280246586034,-63.559280246586034,0.0,0.0,0.0,300.3405156350147
2019-03-02,166.19010984850271,231.39718144817874,484.14195029451304,166.19010984850271,166.19010984850271,190.525833311597,190.525833311597,190.525833311597,134.994845952,134.994845952,134.994845952,120.3771982479142,120.3771982479142,120.3771982479142,-64.8462108883172,-64.8462108883172,-64.8462108883172,0.0,0.0,0.0,356.71594316009976
2019-03-03,166.18365356064442,246.91763530676752,510.66827038877045,166.18365356064442,166.18365356064442,219.99515415895738,219.99515415895738,219.99515415895738,134.994845952,134.994845952,134.994845952,151.27819633608868,151.27819633608868,151.27819633608868,-66.2778881291313,-66.2778881291313,-66.2778881291313,0.0,0.0,0.0,386.17880771960176
2019-03-04,166.17719727278612,103.75795688138446,361.37036611891153,166.17719727278612,166.17719727278612,68.87557760522114,68.87557760522114,68.87557760522114,134.994845952,134.994845952,134.994845952,1.728317305375552,1.728317305375552,1.728317305375552,-67.84758565215442,-67.84758565215442,-67.84758565215442,0.0,0.0,0.0,235.05277487800726
2019-03-05,166.17074098492782,-15.707158722509106,242.9094453101401,166.17074098492782,166.17074098492782,-51.67815674941187,-51.67815674941187,-51.67815674941187,134.994845952,134.994845952,134.994845952,-117.13087419281537,-117.13087419281537,-117.13087419281537,-69.5421285085965,-69.5421285085965,-69.5421285085965,0.0,0.0,0.0,114.49258423551595
2019-03-06,166.16428469706955,-35.557918635683386,215.99504115230724,166.16428469706955,166.16428469706955,-83.77656265060033,-83.77656265060033,-83.77656265060033,134.994845952,134.994845952,134.994845952,-147.4292873042326,-147.4292873042326,-147.4292873042326,-71.34212129836773,-71.34212129836773,-71.34212129836773,0.0,0.0,0.0,82.38772204646922
2019-03-07,166.15782840921125,43.366879526462284,286.8532801357438,166.15782840921125,166.15782840921125,-9.759517078921407,-9.759517078921407,-9.759517078921407,134.994845952,134.994845952,134.994845952,-71.53193418575036,-71.53193418575036,-71.53193418575036,-73.22242884517104,-73.22242884517104,-73.22242884517104,0.0,0.0,0.0,156.39831133028983
2019-03-08,166.15137220144132,155.8687732278129,404.5200153169316,166.15137220144132,166.15137220144132,122.55033706239882,122.55033706239882,122.55033706239882,134.994845952,134.994845952,134.994845952,62.70838379333567,62.70838379333567,62.70838379333567,-75.15289268293687,-75.15289268293687,-75.15289268293687,0.0,0.0,0.0,288.70170926384014
2019-03-09,166.14491599367136,213.9950560722505,472.5122586102061,166.14491599367136,166.14491599367136,178.27278583180268,178.27278583180268,178.27278583180268,134.994845952,134.994845952,134.994845952,120.37719824797205,120.37719824797205,120.37719824797205,-77.09925836816937,-77.09925836816937,-77.09925836816937,0.0,0.0,0.0,344.41770182547407
2019-03-10,166.13845978590143,247.2342236256272,493.2237753790284,166.13845978590143,166.13845978590143,207.24876108995525,207.24876108995525,207.24876108995525,134.994845952,134.994845952,134.994845952,151.27819633616681,151.27819633616681,151.27819633616681,-79.02428119821154,-79.02428119821154,-79.02428119821154,0.0,0.0,0.0,373.38722087585666
2019-03-11,166.1320035781315,87.1334711998338,354.2985444235133,166.1320035781315,166.1320035781315,55.834191672596674,55.834191672596674,55.834191672596674,134.994845952,134.994845952,134.994845952,1.728317305595498,1.728317305595498,1.728317305595498,-80.88897158499883,-80.88897158499883,-80.88897158499883,0.0,0.0,0.0,221.96619525072816
2019-03-12,166.12554737036155,-24.70377446979489,227.21306029069112,166.12554737036155,166.12554737036155,-64.78996455054757,-64.78996455054757,-64.78996455054757,134.994845952,134.994845952,134.994845952,-117.13087419279894,-117.13087419279894,-117.13087419279894,-82.65393630974863,-82.65393630974863,-82.65393630974863,0.0,0.0,0.0,101.33558281981398
2019-03-13,166.11909116259162,-55.666360292467246,198.52631804305022,166.11909116259162,166.11909116259162,-96.71520967485154,-96.71520967485154,-96.71520967485154,134.994845952,134.994845952,134.994845952,-147.4292873041738,-147.4292873041738,-147.4292873041738,-84.28076832267772,-84.28076832267772,-84.28076832267772,0.0,0.0,0.0,69.40388148774008
2019-03-14,166.1126349548217,20.003034251456313,260.34049727748595,166.1126349548217,166.1126349548217,-22.27052399913783,-22.27052399913783,-22.27052399913783,134.994845952,134.994845952,134.994845952,-71.53193418558678,-71.53193418558678,-71.53193418558678,-85.73343576555106,-85.73343576555106,-85.73343576555106,0.0,0.0,0.0,143.84211095568386
2019-03-15,166.10617874705173,153.92506439643827,405.90928516583034,166.10617874705173,166.10617874705173,110.7236091997519,110.7236091997519,110.7236091997519,134.994845952,134.994845952,134.994845952,62.708383792992976,62.708383792992976,62.708383792992976,-86.97962054524108,-86.97962054524108,-86.97962054524108,0.0,0.0,0.0,276.82978794680366
2019-03-16,166.0997225392818,204.62238325024578,460.91981941407215,166.0997225392818,166.0997225392818,167.38008611619003,167.38008611619003,167.38008611619003,134.994845952,134.994845952,134.994845952,120.37719824787338,120.37719824787338,120.37719824787338,-87.99195808368337,-87.99195808368337,-87.99195808368337,0.0,0.0,0.0,333.47980865547186
2019-03-17,166.09326633151187,237.73094405238513,492.77821244013535,166.09326633151187,166.09326633151187,197.52390952078963,197.52390952078963,197.52390952078963,134.994845952,134.994845952,134.994845952,151.27819633611102,151.27819633611102,151.27819633611102,-88.74913276732141,-88.74913276732141,-88.74913276732141,0.0,0.0,0.0,363.6171758523015
2019-03-18,166.0868101237419,92.92060529366907,336.4218351924712,166.0868101237419,166.0868101237419,47.486375225442174,47.486375225442174,47.486375225442174,134.994845952,134.994845952,134.994845952,1.7283173054193701,1.7283173054193701,1.7283173054193701,-89.2367880319772,-89.2367880319772,-89.2367880319772,0.0,0.0,0.0,213.5731853491841
2019-03-19,166.08035391597198,-34.62304009042169,213.51534867543967,166.08035391597198,166.08035391597198,-71.58424403909662,-71.58424403909662,-71.58424403909662,134.994845952,134.994845952,134.994845952,-117.13087419289326,-117.13087419289326,-117.13087419289326,-89.44821579820336,-89.44821579820336,-89.44821579820336,0.0,0.0,0.0,94.49610987687537
2019-03-20,166.07389770820203,-72.82382179214748,182.32645185659038,166.07389770820203,166.07389770820203,-101.81923829599152,-101.81923829599152,-101.81923829599152,134.994845952,134.994845952,134.994845952,-147.42928730423563,-147.42928730423563,-147.42928730423563,-89.38479694375589,-89.38479694375589,-89.38479694375589,0.0,0.0,0.0,64.2546594122105
2019-03-21,166.0674415004321,21.962472035105034,257.1548469652598,166.0674415004321,166.0674415004321,-25.59326067016911,-25.59326067016911,-25.59326067016911,134.994845952,134.994845952,134.994845952,-71.53193418575354,-71.53193418575354,-71.53193418575354,-89.05617243641558,-89.05617243641558,-89.05617243641558,0.0,0.0,0.0,140.47418083026298
2019-03-22,166.06098529266217,149.5191431393001,399.92043597066237,166.06098529266217,166.06098529266217,109.22309633669693,109.22309633669693,109.22309633669693,134.994845952,134.994845952,134.994845952,62.7083837930889,62.7083837930889,62.7083837930889,-88.48013340839196,-88.48013340839196,-88.48013340839196,0.0,0.0,0.0,275.2840816293591
2019-03-23,166.0545290848922,222.23523014687262,456.2813938419062,166.0545290848922,166.0545290848922,167.68981664312037,167.68981664312037,167.68981664312037,134.994845952,134.994845952,134.994845952,120.37719824793126,120.37719824793126,120.37719824793126,-87.6822275568109,-87.6822275568109,-87.6822275568109,0.0,0.0,0.0,333.7443457280126
2019-03-24,166.04807287712228,244.04197092480908,493.94266935220094,166.04807287712228,166.04807287712228,199.57795376788303,199.57795376788303,199.57795376788303,134.994845952,134.994845952,134.994845952,151.27819633605523,151.27819633605523,151.27819633605523,-86.69508852017222,-86.69508852017222,-86.69508852017222,0.0,0.0,0.0,365.6260266450053
